alpha,cl
-6.30962968978556,0.0532319391634981
-6.2990519367431705,0.1444866920152092
-6.293763060221977,0.1992395437262359
-6.283185307179586,0.2783269961977186
-6.267318677616001,0.3695817490494297
-6.251452048052417,0.4486692015209126
-6.2355854184888315,0.5216730038022815
-6.219718788925247,0.5885931558935362
-6.203852159361662,0.6615969581749049
-6.187985529798078,0.7163498098859316
-6.1721189002344925,0.7771863117870723
-6.156252270670908,0.838022813688213
-6.140385641107323,0.8684410646387833
-6.113941258501349,0.8745247148288974
-6.103363505458958,0.8319391634980989
-6.092785752416568,0.7832699619771863
-6.082207999374179,0.7406844106463879
-6.071630246331789,0.6920152091254754
-6.061052493289399,0.6555133079847909
-6.055763616768203,0.6190114068441066
-6.029319234162229,0.5946768060836503
-6.002874851556254,0.6129277566539925
-5.981719345471475,0.6433460076045628
-5.949986086344305,0.6798479087452473
-5.928830580259525,0.7163498098859316
-5.902386197653551,0.746768060836502
-5.881230691568771,0.7832699619771863
-5.8547863089627965,0.8258555133079849
-5.8283419263568215,0.8684410646387833
-5.796608667229652,0.8988593155893536
-5.775453161144871,0.935361216730038
-5.743719902017702,0.9718631178707224
-5.706697766369339,1.0083650190114068
-5.674964507242168,1.0326996197718632
-5.6379423715938035,1.057034220532319
-5.600920235945439,1.0752851711026616
-5.55860922377588,1.0874524714828897
-5.51629821160632,1.0752851711026616
-5.473987199436761,1.0509505703422053
-5.431676187267201,1.0266159695817492
-5.399942928140032,0.9961977186311788
-5.3576319159704715,0.9596958174904944
-5.3206097803221075,0.92319391634981
-5.2941653977161325,0.8927756653992396
-5.262432138588963,0.8623574144486693
-5.2306988794617935,0.8258555133079849
-5.204254496855819,0.7893536121673004
-5.177810114249843,0.7589353612167301
-5.151365731643869,0.7224334600760456
-5.124921349037895,0.6859315589353613
-5.1037658429531145,0.6494296577946769
-5.07732146034714,0.6129277566539925
-5.050877077741165,0.5764258555133082
-5.029721571656387,0.5399239543726236
-4.992699436008022,0.4669201520912549
-4.960966176880852,0.4182509505703423
-4.929232917753683,0.3695817490494297
-4.892210782105318,0.3087452471482892
-4.860477522978148,0.2600760456273765
-4.834033140372174,0.211406844106464
-4.807588757766198,0.1627376425855513
-4.781144375160224,0.1201520912547529
-4.75469999255425,0.0775665399239544
-4.728255609948274,0.0349809885931557
-4.707100103863494,-0.0076045627376422
-4.68065572125752,-0.0501901140684408
-4.648922462130351,-0.0988593155893535
-4.6224780795243765,-0.15361216730038
-4.580167067354815,-0.2205323193916348
-4.537856055185257,-0.2935361216730037
-4.500833919536892,-0.3543726235741442
-4.4691006604097225,-0.4091254752851709
-4.437367401282552,-0.4638783269961974
-4.400345265634188,-0.5125475285171102
-4.363323129985824,-0.5733840304182507
-4.331589870858655,-0.6159695817490491
-4.305145488252679,-0.6524714828897333
-4.27341222912551,-0.695057034220532
-4.24167896999834,-0.7315589353612166
-4.22052346391356,-0.7558935361216728
-4.1887902047863905,-0.792395437262357
-4.157056945659221,-0.8228136882129276
-4.135901439574441,-0.8410646387832701
-4.104168180447272,-0.8714828897338398
-4.077723797841297,-0.8958174904942964
-4.045990538714127,-0.9201520912547524
-4.008968403065763,-0.932319391634981
-3.9666573908962035,-0.9505703422053232
-3.929635255247839,-0.9505703422053232
-3.89790199612067,-0.9505703422053232
-3.8555909839511098,-0.9444866920152092
-3.818568848302746,-0.932319391634981
-3.78154671265438,-0.9140684410646384
-3.744524577006016,-0.8897338403041823
-3.7127913178788465,-0.8593155893536117
-3.6863469352728715,-0.8288973384030416
-3.649324799624507,-0.7863117870722434
-3.6123026639761426,-0.7437262357414447
-3.575280528327778,-0.7072243346007601
-3.5435472692006087,-0.688973384030418
-3.506525133552244,-0.6707224334600759
-3.46950299790388,-0.6768060836501899
-3.43776973877671,-0.695057034220532
-3.4060364796495404,-0.7193916349809881
-3.38488097356476,-0.7558935361216728
-3.3690143440011755,-0.7984790874524714
-3.3584365909587857,-0.8349809885931556
-3.3425699613952005,-0.8775665399239543
-3.331992208352811,-0.8897338403041823
-3.3161255787892263,-0.8714828897338398
-3.3055478257468365,-0.8471482889733837
-3.2949700727044466,-0.8106463878326995
-3.2791034431408614,-0.7619771863117868
-3.263236813577277,-0.7133079847908745
-3.252659060534887,-0.6768060836501899
-3.2473701840136924,-0.6281368821292772
-3.2367924309713016,-0.5855513307984788
-3.231503554450107,-0.5307984790874523
-3.220925801407717,-0.4760456273764255
-3.2156369248865224,-0.421292775665399
-3.205059171844132,-0.3665399239543723
-3.199770295322937,-0.3117870722433458
-3.1891925422805474,-0.257034220532319
-3.183903665759353,-0.2083650190114068
-3.1733259127169626,-0.147528517110266
-3.1627481596745723,-0.0927756653992393
-3.157459283153378,-0.0380228136882128
-3.157459283153378,-0.0076045627376422
-3.152170406632183,0.0532319391634981
-3.141592653589793,0.1444866920152092
-3.136303777068598,0.1992395437262359
-3.1257260240262084,0.2783269961977186
-3.1098593944626236,0.3695817490494297
-3.093992764899039,0.4486692015209126
-3.078126135335454,0.5216730038022815
-3.062259505771869,0.5885931558935362
-3.046392876208284,0.6615969581749049
-3.0305262466446994,0.7163498098859316
-3.0146596170811146,0.7771863117870723
-2.99879298751753,0.838022813688213
-2.982926357953945,0.8684410646387833
-2.95648197534797,0.8745247148288974
-2.9459042223055802,0.8319391634980989
-2.935326469263191,0.7832699619771863
-2.9247487162208006,0.7406844106463879
-2.9141709631784107,0.6920152091254754
-2.9035932101360213,0.6555133079847909
-2.898304333614826,0.6190114068441066
-2.871859951008851,0.5946768060836503
-2.845415568402877,0.6129277566539925
-2.8242600623180967,0.6433460076045628
-2.792526803190927,0.6798479087452473
-2.7713712971061475,0.7163498098859316
-2.744926914500173,0.746768060836502
-2.7237714084153932,0.7832699619771863
-2.6973270258094186,0.8258555133079849
-2.6708826432034436,0.8684410646387833
-2.6391493840762736,0.8988593155893536
-2.6179938779914944,0.935361216730038
-2.586260618864325,0.9718631178707224
-2.54923848321596,1.0083650190114068
-2.5175052240887905,1.0326996197718632
-2.480483088440426,1.057034220532319
-2.443460952792061,1.0752851711026616
-2.401149940622502,1.0874524714828897
-2.3588389284529425,1.0752851711026616
-2.3165279162833827,1.0509505703422053
-2.2742169041138234,1.0266159695817492
-2.242483644986654,0.9961977186311788
-2.200172632817094,0.9596958174904944
-2.1631504971687296,0.92319391634981
-2.1367061145627546,0.8927756653992396
-2.104972855435585,0.8623574144486693
-2.0732395963084156,0.8258555133079849
-2.046795213702441,0.7893536121673004
-2.0203508310964664,0.7589353612167301
-1.9939064484904916,0.7224334600760456
-1.9674620658845177,0.6859315589353613
-1.9463065597997369,0.6494296577946769
-1.9198621771937625,0.6129277566539925
-1.8934177945877881,0.5764258555133082
-1.8722622885030082,0.5399239543726236
-1.8352401528546436,0.4669201520912549
-1.803506893727474,0.4182509505703423
-1.7717736346003043,0.3695817490494297
-1.73475149895194,0.3087452471482892
-1.7030182398247706,0.2600760456273765
-1.6765738572187954,0.211406844106464
-1.6501294746128201,0.1627376425855513
-1.6236850920068462,0.1201520912547529
-1.5972407094008714,0.0775665399239544
-1.5707963267948966,0.0349809885931557
-1.5496408207101167,-0.0076045627376422
-1.523196438104142,-0.0501901140684408
-1.4914631789769728,-0.0988593155893535
-1.465018796370998,-0.15361216730038
-1.4227077842014382,-0.2205323193916348
-1.380396772031879,-0.2935361216730037
-1.3433746363835142,-0.3543726235741442
-1.3116413772563444,-0.4091254752851709
